p,m_k,n_k,q_k
2916212993,26,2,53377
2917188377,8,2,54011
2917192217,12,2,54011
2917404233,6,2,54013
2918092973,14,3,1429
2919997373,2,2,54037
2919997433,6,2,54037
2920259513,18,2,54037
2921017097,24,2,53891
2921879417,24,2,53899
2922621833,26,2,53437
2925840377,12,2,54091
2925901817,16,2,54091
2928350897,24,2,53959
2930382713,10,2,54133
2931035417,12,2,54139
2932248593,26,2,53527
2933631593,10,2,54163
2933892713,18,2,54163
2934195617,28,2,51631
2935584857,12,2,54181
2936629337,20,2,54181
2936881313,6,2,54193
2937824873,22,2,54163
2937995153,30,2,43177
2939483153,6,2,54217
2940394937,28,2,51691
2941969553,30,2,43223
2942657929,13,3,1433
2943607553,26,2,53633
2945128457,12,2,54269
2945753273,26,2,53653
2945992733,2,2,54277
2946009113,14,2,54277
2946254873,18,2,54277
2947078373,2,2,54287
2947729913,6,2,54293
2947730873,10,2,54293
2947746233,14,2,54293
2947991993,18,2,54293
2948344097,20,4,233
2949688817,12,2,54311
2950553777,4,2,54319
2951923097,16,2,54331
2951924153,22,2,54293
2953596413,2,2,54347
2953597433,10,2,54347
2953858553,18,2,54347
2956859153,10,2,54377
2957041433,30,2,43397
2957120273,18,2,54377
2957254217,20,2,54371
2958644393,26,2,53773
2959469057,8,2,54401
2959686413,2,2,54403
2960339297,4,2,54409
2960774573,2,2,54413
2960775593,10,2,54413
2961036713,18,2,54413
2961427577,4,2,54419
2962476137,20,2,54419
2963403353,14,2,54437
2964693617,4,2,54449
2964860993,30,2,43487
2967581273,22,2,54437
2968234553,22,2,54443
2970145097,12,2,54499
2970577013,2,2,54503
2970577073,6,2,54503
2970578033,10,2,54503
2970839153,18,2,54503
2972104313,10,2,54517
2972365433,18,2,54517
2972604977,16,2,54521
2974440233,30,2,43597
2974506617,12,2,54539
2974771313,22,2,54503
2974798793,26,2,53923
2977121993,10,2,54563
2979085817,8,2,54581
2979089657,12,2,54581
2979767551,5,3,1439
2979769567,11,3,1439
2981269457,8,2,54601
2982317777,20,2,54601
2983033073,14,2,54617
2984327897,8,2,54629
2984331737,12,2,54629
2984546177,4,2,54631
2984546417,8,2,54631
2984917913,30,2,43717
2985594737,20,2,54631
2986294673,6,2,54647
2987106233,26,2,54037
2988480953,6,2,54667
2988481913,10,2,54667
2988743033,18,2,54667
2989858577,16,2,54679
2990488913,22,2,54647
2990841617,20,2,54679
2991497897,24,2,54541
2993074697,4,2,54709
2993074937,8,2,54709
2993512373,2,2,54713
2993512433,6,2,54713
2994387857,4,2,54721
2994388097,8,2,54721
2997490553,26,2,54133
3000081593,6,2,54773
3001616393,10,2,54787
3002574977,28,2,52289
3002930417,4,2,54799
3003830057,28,2,52301
3003990113,26,2,54193
3005922497,28,2,52321
3006591953,26,2,54217
3007366553,30,2,43973
3008632217,4,2,54851
3008697737,16,2,54851
3009477833,30,2,43997
3009680777,20,2,54851
3010607417,8,2,54869
3010611257,12,2,54869
3011165057,24,2,54721
3012972737,20,2,54881
3013101593,26,2,54277
3014408633,30,2,44053
3014779673,10,2,54907
3014838713,26,2,54293
3015877913,10,2,54917
3016100657,12,2,54919
3016139033,18,2,54917
3017145137,20,2,54919
3018579017,16,2,54941
3019458137,16,2,54949
3019707617,24,2,54799
3022030733,2,2,54973
3023130353,6,2,54983
3023131313,10,2,54983
3023530577,28,2,52489
3025110017,4,2,55001
3025990337,8,2,55009
3027310457,4,2,55021
3027324593,22,2,54983
3027375977,16,2,55021
3027384377,24,2,54869
3027883433,26,2,54413
3028000673,30,2,44207
3029742647,10,3,1447
3030495833,26,2,54437
3030612857,8,2,55051
3030678137,16,2,55051
3031713977,8,2,55061
3032873777,24,2,54919
3032954993,30,2,44263
3033051713,14,2,55073
3035290697,24,2,54941
3035611673,30,2,44293
3036169817,24,2,54949
3036340613,2,2,55103
3037685873,26,2,54503
3039467657,24,2,54979
3041191613,2,2,55147
3041207993,14,2,55147
3041887217,24,2,55001
3042077993,22,2,55117
3042484073,26,2,54547
3044776937,28,2,52691
3044887817,20,2,55171
3046412753,26,2,54583
3047169617,24,2,55049
3047215937,16,2,55201
3048198977,20,2,55201
3048475373,2,2,55213
3048475433,6,2,55213
3048490937,24,2,55061
3048737513,18,2,55213
3048917093,2,2,55217
3049179233,18,2,55217
3050242457,4,2,55229
3050473457,24,2,55079
3051291017,20,2,55229
3051805433,14,2,55243
3053557097,4,2,55259
3053724833,30,2,44497
3054614873,30,2,44507
3054936853,1,3,1451
3055461139,19,3,1451
3055983353,22,2,55243
3056245793,26,2,54673
3057820673,30,2,44543
3059527973,2,2,55313
3060621233,26,2,54713
3061741913,10,2,55333
3062509337,28,2,52859
3063722273,22,2,55313
3066169193,6,2,55373
3066170153,10,2,55373
3066185513,14,2,55373
3066533153,26,2,54767
3066951257,28,2,52901
3067041953,22,2,55343
3067059257,12,2,55381
3067096433,30,2,44647
3067586681,2,3,1453
3067587701,10,3,1453
3068856017,28,2,52919
3070334297,24,2,55259
3070444457,16,2,55411
3073482977,8,2,55439
3073486817,12,2,55439
3073704497,4,2,55441
3073708577,12,2,55441
3074531297,20,2,55439
3075479873,10,2,55457
3076572833,30,2,44753
3076814057,12,2,55469
3078807233,6,2,55487
3078808193,10,2,55487
3079673153,22,2,55457
3080510417,24,2,55351
3081409577,20,2,55501
3086789513,30,2,44867
3089025257,4,2,55579
3089025497,8,2,55579
3089090777,16,2,55579
3089123273,30,2,44893
3090073817,20,2,55579
3090239153,26,2,54983
3092426417,16,2,55609
3093251657,28,2,53149
3093473177,4,2,55619
3093473417,8,2,55619
3093538697,16,2,55619
3093587177,24,2,55469
3093695897,8,2,55621
3094521737,20,2,55619
3094808177,4,2,55631
3095763857,16,2,55639
3096746897,20,2,55639
3096850487,26,3,1447
3098212457,16,2,55661
3099195497,20,2,55661
3099224993,22,2,55633
3100377857,12,2,55681
3101553017,16,2,55691
3102172193,14,2,55697
3103514633,30,2,45053
3104895377,16,2,55721
3105761963,14,3,1459
3106094993,26,2,55127
3106183673,14,2,55733
3106429433,18,2,55733
3106914137,24,2,55589
3108578393,22,2,55717
3109218857,28,2,53299
3110065433,26,2,55163
3110284937,28,2,53309
3110472857,24,2,55621
3111585377,24,2,55631
3113120993,18,2,55793
3114422273,10,2,55807
3114437633,14,2,55807
3115353113,18,2,55813
3115538513,10,2,55817
3115584233,26,2,55213
3116207333,2,2,55823
3116877497,8,2,55829
3117053153,22,2,55793
3120159377,20,2,55849
3120492737,24,2,55711
3121032833,30,2,45247
3121572737,12,2,55871
3121634177,16,2,55871
3123584417,12,2,55889
3124736753,18,2,55897
3125153029,29,3,1373
3125407553,18,2,55903
3125970377,20,2,55901
3127223777,16,2,55921
3127830353,10,2,55927
3127845713,14,2,55927
3128206817,20,2,55921
3128500493,2,2,55933
3130290617,4,2,55949
3130356137,16,2,55949
3132305153,6,2,55967
3132694793,22,2,55933
3134544173,2,2,55987
3134806313,18,2,55987
3135174233,30,2,45403
3135664013,2,2,55997
3135664073,6,2,55997
3136082393,30,2,45413
3137073617,16,2,56009
3140430737,28,2,53591
3141418097,20,2,56039
3141699017,24,2,55901
3142574777,28,2,53611
3144505097,28,2,53629
3145078577,4,2,56081
3145078817,8,2,56081
3145577777,28,2,53639
3145751573,2,2,56087
3146127137,20,2,56081
3146441033,14,2,56093
3147067817,24,2,55949
3147163337,16,2,56099
3147322457,8,2,56101
3148669793,10,2,56113
3148685153,14,2,56113
3149909423,28,3,1423
3150085217,28,2,53681
3152018057,28,2,53699
3152710217,4,2,56149
3152714297,12,2,56149
3154731893,2,2,56167
3154731953,6,2,56167
3154748273,14,2,56167
3156084137,12,2,56179
3157146737,24,2,56039
3157370897,24,2,56041
3158102873,6,2,56197
3158119193,14,2,56197
3158465537,28,2,53759
3159227873,10,2,56207
3161855777,24,2,56081
3161907137,28,2,53791
3162825377,8,2,56239
3162890657,16,2,56239
3163875017,24,2,56099
3163950017,4,2,56249
3163954097,12,2,56249
3164920217,28,2,53819
3165525173,2,2,56263
3166237433,18,2,56267
3166265897,16,2,56269
3166794473,22,2,56237
3167466377,24,2,56131
3169442777,28,2,53861
3169487417,24,2,56149
3169581497,12,2,56299
3169719473,22,2,56263
3170169593,22,2,56267
3170928737,4,2,56311
3170928977,8,2,56311
3170994257,16,2,56311
3172857257,24,2,56179
3173406893,2,2,56333
3173423273,14,2,56333
3176336897,4,2,56359
3176621033,26,2,55763
3177464177,4,2,56369
3177468257,12,2,56369
3178366133,2,2,56377
3178512737,20,2,56369
3178628273,18,2,56377
3179298233,26,2,55787
3179358593,30,2,45887
3183140033,18,2,56417
3183316193,26,2,55823
3184523297,16,2,56431
3185135033,6,2,56437
3185151353,14,2,56437
3185623577,28,2,54011
3186941213,2,2,56453
3186942233,10,2,56453
3188523113,10,2,56467
3189216113,14,2,56473
3189651533,2,2,56477
3189729857,28,2,54049
3189881537,12,2,56479
3192363017,4,2,56501
3192851153,18,2,56503
3193332617,16,2,56509
3193394033,22,2,56473
3194241377,24,2,56369
3195445937,20,2,56519
3195758057,12,2,56531
3197110853,2,2,56543
3197110913,6,2,56543
3199228433,30,2,46103
3201305153,22,2,56543
3201653033,26,2,55987
3203220473,6,2,56597
3203221433,10,2,56597
3203236793,14,2,56597
3203287433,30,2,46147
3203446817,4,2,56599
3204805577,8,2,56611
3206847737,12,2,56629
3207296693,2,2,56633
3207297713,10,2,56633
3209140217,24,2,56501
3210242537,8,2,56659
3210957713,18,2,56663
3211602497,8,2,56671
3211606337,12,2,56671
3213416033,6,2,56687
3213432353,14,2,56687
3215003657,8,2,56701
3215068937,16,2,56701
3215730977,28,4,233
3216364373,2,2,56713
3216380753,14,2,56713
3216626513,18,2,56713
3216899993,26,2,56123
3218410457,12,2,56731
3218989217,28,2,54319
3219087233,6,2,56737
3219103553,14,2,56737
3220222013,2,2,56747
3220223033,10,2,56747
3220238393,14,2,56747
3220484153,18,2,56747
3220558673,22,2,56713
3223620857,24,2,56629
3223920377,16,2,56779
3224416313,22,2,56747
3225211673,26,2,56197
3227035313,6,2,56807
3227262497,4,2,56809
3227262737,8,2,56809
3227717033,6,2,56813
3227717993,10,2,56813
3228311057,20,2,56809
3228503393,22,2,56783
3229307933,2,2,56827
3229307993,6,2,56827
3229570073,18,2,56827
3232634033,26,2,56263
3234554513,14,2,56873
3235183577,24,2,56731
3236642873,30,2,46507
3236651417,16,2,56891
3238576457,28,2,54499
3238699817,16,2,56909
3238862177,8,2,56911
3240974897,28,2,54521
3244039697,24,2,56809
3244099853,2,2,56957
3245119937,28,2,54559
3245474993,26,2,56377
3248218433,14,2,56993
3248375833,13,3,1481
3249704657,28,2,54601
3252981617,28,2,54631
3253219373,2,2,57037
3254050073,26,2,56453
3254724257,20,2,57041
3254912033,30,2,46703
3255639137,24,2,56911
3255733577,12,2,57059
3257327393,6,2,57073
3257800313,14,2,57077
3258554513,22,2,57047
3259054697,24,2,56941
3260068433,10,2,57097
3261471593,18,2,57107
3261545603,4,3,1483
3262645697,16,2,57119
3262823297,28,2,54721
3263951177,4,2,57131
3263955257,12,2,57131
3264219713,26,2,56543
3264261713,22,2,57097
3264637073,30,2,46807
3264865577,8,2,57139
3264999737,20,2,57131
3265322453,2,2,57143
3265403753,22,2,57107
3265739891,22,3,1483
3266012297,12,2,57149
3267056777,20,2,57149
3267608633,6,2,57163
3268752953,10,2,57173
3269174297,28,2,54779
3269438297,8,2,57179
3269503577,16,2,57179
3270329273,26,2,56597
3270876017,16,2,57191
3271365857,28,2,54799
3271859057,20,2,57191
3274243097,8,2,57221
3274405553,26,2,56633
3274471793,6,2,57223
3274472753,10,2,57223
3277677017,4,2,57251
3278593337,8,2,57259
3279585857,24,4,239
3279742457,12,2,57269
3279971537,12,2,57271
3280359617,28,2,54881
3280728377,24,2,57131
3280786937,20,2,57269
3281016017,20,2,57271
3281642537,24,2,57139
3281922073,25,3,1481
3282083873,30,2,46993
3282459833,30,2,46997
3283404857,8,2,57301
3284453177,20,2,57301
3286614257,4,2,57329
3286847657,12,2,57331
3287828057,28,2,54949
3287892137,20,2,57331
3288532591,19,3,1487
3288678413,2,2,57347
3288911897,12,2,57349
3291923273,18,2,57373
3294318953,30,2,47123
3294431993,14,2,57397
3295745897,28,2,55021
3296268953,14,2,57413
3296416793,26,2,56827
3296581433,30,2,47147
3298122473,18,2,57427
3301293173,2,3,1489
3301307873,10,2,57457
3302456093,2,2,57467
3302457113,10,2,57467
3302718233,18,2,57467
3303391457,24,2,57329
3304377473,26,2,56897
3305075993,30,2,47237
3305445113,6,2,57493
3305685017,24,2,57349
3306650393,22,2,57467
3308949473,22,2,57487
3309355733,2,2,57527
3309356753,10,2,57527
3309639353,22,2,57493
3309651377,16,2,57529
3309802193,30,2,47287
3310274537,24,2,57389
3311315633,30,2,47303
3312824633,14,2,57557
3314087057,20,2,57559
3314171153,26,2,56983
3315468617,20,2,57571
3316995593,30,2,47363
3317573417,28,2,55219
3322023773,2,2,57637
3322024793,10,2,57637
3322285913,18,2,57637
3322488977,12,2,57641
3323533457,20,2,57641
3323868413,2,2,57653
3324130553,18,2,57653
3325499273,14,2,57667
3326218073,22,2,57637
3326363057,24,2,57529
3327176273,26,2,57097
3327970189,5,3,1493
3328020977,8,2,57689
3328062713,22,2,57653
3328086257,16,2,57689
3330332777,12,2,57709
3330840377,28,2,55339
3331197257,24,2,57571
3333561173,2,2,57737
3333577553,14,2,57737
3335178017,4,2,57751
3335243537,16,2,57751
3335490617,28,2,55381
3335980793,30,2,47563
3337720553,10,2,57773
3338644217,8,2,57781
3339353753,14,2,57787
3339692537,20,2,57781
3339803777,12,2,57791
3340031873,10,2,57793
3340047233,14,2,57793
3341186873,6,2,57803
3341187833,10,2,57803
3341884577,12,2,57809
3343644257,24,2,57679
3344225153,22,2,57793
3345245417,28,2,55469
3346275473,6,2,57847
3346276433,10,2,57847
3346537553,18,2,57847
3347231753,18,2,57853
3347664137,8,2,57859
3348712457,20,2,57859
3349645577,24,2,57731
3352294217,4,2,57899
3352294457,8,2,57899
3352526057,8,2,57901
3353342777,20,2,57899
3356576897,24,2,57791
3357392273,10,2,57943
3358116953,18,2,57947
3358769993,26,2,57373
3360796337,28,2,55609
3360868733,2,2,57973
3361333553,10,2,57977
3361585553,22,2,57943
3361594673,18,2,57977
3361908617,28,2,55619
3362120393,30,2,47837
3362956097,4,2,57991
3363243617,28,2,55631
3363361433,26,2,57413
3365524553,14,2,58013
3367132733,2,2,58027
3367394873,18,2,58027
3367601057,12,2,58031
3368254627,7,3,1499
3368385571,17,3,1499
3368989853,2,2,58043
3368989913,6,2,58043
3369006233,14,2,58043
3369251993,18,2,58043
3369564953,26,2,57467
3369686657,8,2,58049
3369751937,16,2,58049
3370615253,2,2,58057
3371079977,8,2,58061
3371083817,12,2,58061
3371314313,30,2,47933
3371864033,26,2,57487
3372038633,18,2,58067
3372128297,20,2,58061
3372473393,6,2,58073
3372474353,10,2,58073
3373402577,4,4,241
3373406657,12,4,241
3373468097,16,4,241
3374191193,30,2,47963
3374451137,20,4,241
3376655897,4,2,58109
3376888337,4,2,58111
3376892417,12,2,58111
3377704457,20,2,58109
3377936897,20,2,58111
3378980897,8,2,58129
3381542897,12,2,58151
3381787793,14,2,58153
3383632817,8,2,58169
3383636657,12,2,58169
3386425253,2,2,58193
3386687393,18,2,58193
3387123617,4,2,58199
3387127697,12,2,58199
3387546257,28,2,55849
3388054913,6,2,58207
3389132633,26,2,57637
3391549193,10,2,58237
3392248073,10,2,58243
3395757857,24,2,58129
3396558017,20,2,58271
3398316017,24,2,58151
3400405973,2,2,58313
3401339057,4,2,58321
3401514833,30,2,48247
3403221953,14,2,58337
3403467713,18,2,58337
3404956519,17,7,23
3405443537,28,2,56009
3406446233,26,2,57787
3406707713,10,2,58367
3406944257,12,2,58369
3407139713,26,2,57793
3408107897,8,2,58379
3409508897,4,2,58391
3410557457,20,2,58391
3410926793,14,2,58403
3412545953,6,2,58417
3412546913,10,2,58417
3412562273,14,2,58417
3413514017,28,2,56081
3414656513,30,2,48383
3415104713,22,2,58403
3415116977,8,2,58439
3415182257,16,2,58439
3416519657,8,2,58451
3416523497,12,2,58451
3416716697,24,2,58309
3416753273,6,2,58453
3417567977,20,2,58451
3419124617,28,2,56131
3423602657,16,2,58511
3424963673,26,2,57947
3426581393,10,2,58537
3426596753,14,2,58537
3427282853,2,2,58543
3427887137,28,2,56209
3430796393,6,2,58573
3431564777,16,2,58579
3431893937,24,2,58439
3432106793,30,2,48563
3433296617,24,2,58451
3434077217,4,2,58601
3434077457,8,2,58601
3434142737,16,2,58601
3434241593,26,2,58027
3434311613,2,2,58603
3436098713,26,2,58043
3436804577,24,2,58481
3437594417,8,2,58631
3438012857,28,2,56299
3439582193,26,2,58073
3440660033,14,2,58657
3443229137,12,2,58679
3444163973,2,2,58687
3444164993,10,2,58687
3445572857,8,2,58699
3445638137,16,2,58699
3445899617,28,2,56369
3446621177,20,2,58699
3446981777,8,2,58711
3448860593,6,2,58727
3448880273,26,2,58153
3449565293,2,2,58733
3449804023,13,3,1511
3449926903,17,3,1511
3455163713,26,2,58207
3456146777,8,2,58789
3459442577,28,2,56489
3460105673,22,2,58787
3460798457,28,2,56501
3462135137,20,2,58831
3467979857,16,2,58889
3470296793,18,2,58907
3470807657,24,2,58771
3471318857,20,2,58909
3471684497,8,2,58921
3474278273,10,2,58943
3474293633,14,2,58943
3476651753,14,2,58963
3476897513,18,2,58963
3477976913,30,2,49033
3480331073,30,2,49057
3480646073,6,2,58997
3480823193,26,2,58427
3480829673,22,2,58963
3481301393,22,2,58967
3483346697,20,2,59011
3483478457,4,2,59021
3483478697,8,2,59021
3483543977,16,2,59021
3483714593,6,2,59023
3483715553,10,2,59023
3483976673,18,2,59023
3484422857,4,2,59029
3484691537,24,2,58889
3486784409,3,20,3
3486784913,9,20,3
3486810953,30,2,49123
3487086137,16,2,59051
3487256813,2,2,59053
3487257833,10,2,59053
3488069177,20,2,59051
3489146777,4,2,59069
3489147017,8,2,59069
3489150857,12,2,59069
3489212297,16,2,59069
3490800953,6,2,59083
3491451113,22,2,59053
3491999033,14,2,59093
3492244793,18,2,59093
3493689233,26,2,58537
3493899593,18,2,59107
3494608913,18,2,59113
3495299657,24,2,58979
3495529133,2,2,59123
3496715297,24,2,58991
3498604217,4,2,59149
3498706457,20,2,59141
3498839297,24,2,59009
3499723433,22,2,59123
3499787537,8,2,59159
3499852817,16,2,59159
3500996033,18,2,59167
3501200057,24,2,59029
3501964553,30,2,49277
3502627553,6,2,59183
3502628513,10,2,59183
3502889633,18,2,59183
3504546953,18,2,59197
3506754257,20,2,59209
3506889977,4,2,59219
3506894057,12,2,59219
3507752513,26,2,58657
3508548293,2,2,59233
3509324657,16,2,59239
3512119553,14,2,59263
3513288533,2,2,59273
3513289553,10,2,59273
3513410273,30,2,49393
3514302497,16,2,59281
3514435097,24,2,59141
3515285537,20,2,59281
3515381417,24,2,59149
3516674153,26,2,58733
3520330193,30,2,49463
3521354537,8,2,59341
3521358377,12,2,59341
3522402857,20,2,59341
3523253453,2,2,59357
3523254473,10,2,59357
3523490897,4,2,59359
3523494977,12,2,59359
3524599193,22,2,59333
3524678177,4,2,59369
3525644513,14,2,59377
3526036337,24,2,59239
3527528453,2,2,59393
3529981043,28,3,1483
3530380913,10,2,59417
3530617577,4,2,59419
3532386617,28,2,57131
3532642669,1,3,1523
3533232497,4,2,59441
3533385953,22,2,59407
3533732393,18,2,59443
3534207953,18,2,59447
3534443657,28,2,57149
3534675593,14,2,59453
3536324153,6,2,59467
3537038753,10,2,59473
3537054113,14,2,59473
3538131497,24,2,59341
3541386113,26,2,58943
3541386617,16,2,59509
3544215953,26,2,58967
3545018417,24,2,59399
3547512977,8,2,59561
3548227493,2,2,59567
3548561297,20,2,59561
3549895577,4,2,59581
3552487193,30,2,49787
3553471577,8,2,59611
3554186693,2,2,59617
3554365673,26,2,59053
3554663657,4,2,59621
3554663897,8,2,59621
3554729177,16,2,59621
3555049697,28,2,57329
3555395513,14,2,59627
3555617657,4,2,59629
3555683177,16,2,59629
3559091513,26,2,59093
3559200377,12,2,59659
3559290377,20,2,59651
3559935713,18,2,59663
3560693777,16,2,59671
3561669737,24,2,59539
3563974697,12,2,59699
3564926873,10,2,59707
3566836733,2,2,59723
3567448553,22,2,59693
3569120153,22,2,59707
3569488193,18,2,59743
3570421013,2,2,59753
3572572697,8,2,59771
3572577713,26,2,59207
3574577417,20,2,59779
3577116497,4,2,59809
3577120577,12,2,59809
3579044633,30,2,50053
3579987953,6,2,59833
3580747817,24,2,59699
3581473937,28,2,57559
3583050473,30,2,50093
3583595153,14,2,59863
3583840913,18,2,59863
3585494897,8,2,59879
3586310657,28,2,57601
3586452773,2,2,59887
3588463433,30,2,50147
3591473153,30,2,50177
3591574817,20,2,59921
3591807763,29,3,1451
3592533617,20,2,59929
3594841853,2,2,59957
3595302497,28,2,57679
3596524937,12,2,59971
3596586377,16,2,59971
3597720377,4,2,59981
3597720617,8,2,59981
3597785897,16,2,59981
3601054673,26,2,59447
3601768073,26,2,59453
3602040353,6,2,60017
3604441433,6,2,60037
3604703513,18,2,60037
3607001873,26,2,59497
3608906033,26,2,59513
3609245933,2,2,60077
3610229033,18,2,60083
3610692017,12,2,60089
3611583953,30,2,50377
3611736497,20,2,60089
3611976857,20,2,60091
3612370673,6,2,60103
3612867833,14,2,60107
3613785377,28,2,57839
3614145113,26,2,59557
3615257153,10,2,60127
3615615713,30,2,50417
3615994073,14,2,60133
3616239833,18,2,60133
3616657217,24,2,59999
3617747897,20,2,60139
3617967737,16,2,60149
3620308817,8,2,60169
3620394497,20,2,60161
3620729657,28,2,57899
3623688833,30,2,50497
3624262193,22,2,60167
3624294833,30,2,50503
3626088113,10,2,60217
3626826113,14,2,60223
3630922433,14,2,60257
3632195657,20,2,60259
3632593457,4,2,60271
3632597537,12,2,60271
3633945593,26,2,59723
3635100353,22,2,60257
3635246873,10,2,60293
3636334913,26,2,59743
3637529873,26,2,59753
3638402633,18,2,60317
3641277713,6,2,60343
3641539793,18,2,60343
3642484673,6,2,60353
3642500993,14,2,60353
3642508313,30,2,50683
3644915513,14,2,60373
3645323777,28,2,58111
3646678913,22,2,60353
3647797613,2,2,60397
3653372633,14,2,60443
3654081617,4,2,60449
3654081857,8,2,60449
3655048913,6,2,60457
3655065233,14,2,60457
3655130177,20,2,60449
3656606777,24,2,60331
3659284817,28,2,58231
3659403113,6,2,60493
3659665193,18,2,60493
3659887073,6,2,60497
3659888033,10,2,60497
3660149153,18,2,60497
3662387657,20,2,60509
3662791697,8,2,60521
3663518753,10,2,60527
3663534113,14,2,60527
3664974617,12,2,60539
3671092457,16,2,60589
3673208453,2,2,60607
3673209473,10,2,60607
3673650011,2,3,1543
3673651031,10,3,1543
3673693337,4,2,60611
3673693577,8,2,60611
3673758857,16,2,60611
3675148133,2,2,60623
3675148193,6,2,60623
3675164513,14,2,60623
3675375617,28,2,58369
3676118417,8,2,60631
3676122257,12,2,60631
3678058673,6,2,60647
3678074993,14,2,60647
3678116297,24,2,60509
3678366737,16,2,60649
3679518377,12,2,60659
3679761017,12,2,60661
3680562857,20,2,60659
3681941057,4,2,60679
3682364993,26,2,60127
3683154977,8,2,60689
3683220257,16,2,60689
3684954857,28,2,58451
3687768593,6,2,60727
3688325513,30,2,51133
3688734593,30,2,51137
3688983173,2,2,60737
3691429433,14,2,60757
3691675193,18,2,60757
3691899137,4,2,60761
3691903217,12,2,60761
3692691593,22,2,60733
3692947697,20,2,60761
3693357533,2,2,60773
3693358553,10,2,60773
3693619673,18,2,60773
3694086857,4,2,60779
3695135417,20,2,60779
3695489033,30,2,51203
3695788853,2,2,60793
3696336473,22,2,60763
3697981817,12,2,60811
3699198137,12,2,60821
3705035417,8,2,60869
3706150073,30,2,51307
3707227793,10,2,60887
3707535857,16,2,60889
3708688457,8,2,60899
3708935897,12,2,60901
3709548377,28,2,58661
3710256233,30,2,51347
3710393573,2,2,60913
3710394593,10,2,60913
3710881913,10,2,60917
3711128657,12,2,60919
3711190097,16,2,60919
3711628313,14,2,60923
3712173137,20,2,60919
3715268273,6,2,60953
3715284593,14,2,60953
3715416977,28,2,58711
3716309057,16,2,60961
3720866453,22,3,1549
3721122017,4,2,61001
3721122257,8,2,61001
3721870433,14,2,61007
3722116193,18,2,61007
3722157713,26,2,60457
3722170577,20,2,61001
3724247537,24,2,60889
3724652993,30,2,51487
3724783217,8,2,61031
3725465417,24,2,60899
3726048353,22,2,61007
3726247853,2,2,61043
3726247913,6,2,61043
3726300833,30,2,51503
3727901777,24,2,60919
3727973633,14,2,61057
3728219393,18,2,61057
3732110537,8,2,61091
3732114377,12,2,61091
3736820177,16,2,61129
3736825217,20,2,61121
3738221897,4,2,61141
3740317313,26,2,60607
3741712097,16,2,61169
3743954633,26,2,60637
3746786777,8,2,61211
3749235377,4,2,61231
3749235617,8,2,61231
3750497537,28,2,59009
3751913897,28,2,59021
3752192153,18,2,61253
3752450033,22,2,61223
3752975657,16,2,61261
3755219857,28,20,3
3755456057,28,2,59051
3756586697,4,2,61291
3756586937,8,2,61291
3757584353,18,2,61297
3758521913,26,2,60757
3761516513,22,2,61297
3761736893,2,2,61333
3761753273,14,2,61333
3762472937,4,2,61339
3762475433,30,2,51853
3762980033,14,2,61343
3765931193,22,2,61333
3766625273,30,2,51893
3767381897,8,2,61379
3767627177,4,2,61381
3767627417,8,2,61381
3768430217,20,2,61379
3768701393,30,2,51913
3770328413,2,2,61403
3770328473,6,2,61403
3771065297,4,2,61409
3771065537,8,2,61409
3772047953,6,2,61417
3772064273,14,2,61417
3773363897,24,2,61291
3775350353,30,2,51977
3776242193,22,2,61417
3777502433,26,2,60913
3778684097,8,2,61471
3779093809,25,3,1553
3780160313,10,2,61483
3780421433,18,2,61483
3781894673,22,2,61463
3784158857,24,2,61379
3784714313,30,2,52067
3785238553,29,3,1481
3785635937,20,2,61519
3787842497,24,2,61409
3788034233,10,2,61547
3788771813,2,2,61553
3789510497,4,2,61559
3789760817,12,2,61561
3789789737,28,2,59341
3791403593,26,2,61027
3791926337,28,2,59359
3794929673,6,2,61603
3795734417,16,2,61609
3796161773,2,2,61613
3796178153,14,2,61613
3796423913,18,2,61613
3797508487,23,3,1559
3798384257,12,2,61631
3799119773,2,2,61637
3800911337,16,2,61651
3800983553,30,2,52223
3802445993,30,2,52237
3803558933,2,2,61673
3803575313,14,2,61673
3804549857,12,2,61681
3805286993,10,2,61687
3805302353,14,2,61687
3807753233,22,2,61673
3809004473,14,2,61717
3809756537,28,2,59509
3810469697,8,2,61729
3811518017,20,2,61729
3813182393,22,2,61717
3813190097,12,2,61751
3813251537,16,2,61751
3813327977,28,2,59539
3818139593,30,2,52387
3821654297,16,2,61819
3822961313,30,2,52433
3823830953,14,2,61837
3824573033,14,2,61843
3825478673,30,2,52457
3828086177,16,2,61871
3828845753,26,2,61333
3830072513,26,2,61343
3831777113,30,2,52517
3832724297,4,2,61909
3832728377,12,2,61909
3834969713,14,2,61927
3841709897,16,2,61981
3842388233,6,2,61987
3842650313,18,2,61987
3842888177,12,2,61991
3844373033,10,2,62003
3844634153,18,2,62003
3846108353,6,2,62017
3846124673,14,2,62017
3846582473,22,2,61987
3847554713,30,2,52667
3847752287,10,3,1567
3848566313,22,2,62003
3848837537,4,2,62039
3850092353,18,2,62047
3850219913,26,2,61507
3850715633,30,2,52697
3851071253,2,2,62057
3852813137,12,2,62071
3853857617,20,2,62071
3855265553,22,2,62057
3855987833,30,2,52747
3857042873,30,2,52757
3859920497,28,2,59929
3860016737,12,2,62129
3861503897,4,2,62141
3862038473,26,2,61603
3862552457,20,2,62141
3862954793,30,2,52813
3864956297,28,2,59971
3865946753,22,2,62143
3866228633,26,2,61637
