p,m_k,n_k,q_k
6538313,6,2,2557
6651497,8,2,2579
6670403,22,5,19
6755897,20,2,2389
6776753,22,2,1607
6800393,18,2,2557
6806897,4,2,2609
6807137,8,2,2609
6841433,22,2,1627
6861497,20,2,2411
6865073,14,2,2617
6932693,2,2,2633
6933713,10,2,2633
6935177,16,2,2621
6967903,5,3,191
6967999,7,3,191
6973193,22,2,1667
7007633,10,2,2647
7022993,14,2,2647
7060553,22,2,1693
7070537,8,2,2659
7076033,14,2,2657
7091633,6,2,2663
7092593,10,2,2663
7098943,17,3,191
7107953,14,2,2663
7134497,8,2,2671
7138337,12,2,2671
7163033,22,2,1723
7190081,10,3,193
7194833,18,2,2633
7198553,6,2,2683
7214873,14,2,2683
7219973,2,2,2687
7220033,6,2,2687
7234817,12,2,2689
7236353,14,2,2687
7246313,22,2,1747
7252253,2,2,2693
7254593,16,3,193
7268633,14,2,2693
7284617,4,2,2699
7447697,8,2,2729
7462457,12,2,2731
7482113,18,2,2687
7495097,20,2,2539
7512977,16,2,2729
7517633,22,2,1823
7579073,6,2,2753
7589993,18,2,2707
7605713,22,2,1847
7645501,7,3,197
7657313,10,2,2767
7679993,22,2,1867
7702433,22,2,1873
7711733,2,2,2777
7717433,22,2,1877
7778777,8,2,2789
7793777,12,2,2791
7841153,18,2,2753
7853873,22,2,1913
7855217,16,2,2791
7894577,12,4,53
7946777,4,2,2819
7950857,12,2,2819
8025893,2,2,2833
8026913,10,2,2833
8049593,10,2,2837
8082653,2,2,2843
8118857,20,2,2659
8118953,18,2,2803
8128217,4,2,2851
8162513,6,2,2857
8163473,10,2,2857
8169661,19,3,197
8193737,16,2,2851
8250857,16,2,2861
8288897,8,2,2879
8292737,12,2,2879
8310713,18,2,2837
8334773,2,2,2887
8335793,10,2,2887
8344793,18,2,2843
8388617,23,2,3
8388733,23,3,5
8389939,23,3,11
8393633,10,2,2897
8398097,20,2,2711
8408993,14,2,2897
8424593,18,2,2857
8427413,2,2,2903
8457529,23,3,41
8462537,8,2,2909
8496017,20,2,2729
8506937,20,2,2731
8508893,2,2,2917
8527817,16,2,2909
8568353,10,2,2927
8583713,14,2,2927
8605577,20,2,2749
8641817,12,2,2939
8654753,18,2,2897
8689553,18,2,2903
8703257,16,2,2939
8736593,14,2,2953
8743853,2,2,2957
8743913,6,2,2957
8746519,23,3,71
8771033,18,2,2917
8780393,10,2,2963
8795753,14,2,2963
8829713,22,2,2153
8830937,12,2,2971
8838257,20,2,2791
8939057,20,4,53
8982353,18,2,2953
8994017,4,2,2999
9021113,22,6,13
9047513,22,2,2203
9114377,4,2,3019
9138533,2,2,3023
9154913,14,2,3023
9179897,16,2,3019
9223373,2,2,3037
9224393,10,2,3037
9225353,22,2,2243
9239753,14,2,3037
9247937,8,2,3041
9300497,12,2,3049
9313217,16,2,3041
9369977,8,2,3061
9400673,18,2,3023
9418909,23,3,101
9424673,22,2,2287
9480257,4,2,3079
9484337,12,2,3079
9485513,18,2,3037
9510857,20,2,2909
9521273,14,2,3083
9541937,4,2,3089
9702713,22,2,2347
9728177,4,2,3119
9728417,8,2,3119
9731417,16,2,3109
9744737,12,2,3121
9765629,2,10,5
9793697,16,2,3119
9840833,6,2,3137
9857153,14,2,3137
9863537,20,2,2969
9875417,20,2,2971
10004573,2,2,3163
10030913,10,2,3167
10042817,8,2,3169
10046657,12,2,3169
10108097,16,2,3169
10114697,20,2,3011
10157033,6,2,3187
10162937,20,2,3019
10182737,8,2,3191
10184297,16,2,3181
10186577,12,2,3191
10259273,6,2,3203
10260233,10,2,3203
10275593,14,2,3203
10292033,18,2,3167
10301777,12,2,3209
10329833,22,2,2477
10341733,23,9,5
10349153,6,2,3217
10375097,8,2,3221
10426697,8,2,3229
10491977,16,2,3229
10590497,20,2,3089
10609073,10,2,3257
10611233,18,2,3217
10621097,4,2,3259
10625177,12,2,3259
10789217,20,2,3121
10896617,4,2,3301
10900697,12,2,3301
10948937,16,2,3299
10959961,23,3,137
11015777,4,2,3319
11042393,6,2,3323
11082257,4,2,3329
11082497,8,2,3329
11086337,12,2,3329
11089823,8,3,223
11095817,8,2,3331
11161097,16,2,3331
11167337,20,2,3181
11175653,2,2,3343
11175713,6,2,3343
11192033,14,2,3343
11300417,12,2,3361
11348417,16,2,3359
11360633,22,2,2677
11363897,8,2,3371
11437793,18,2,3343
11464553,18,2,3347
